cold_1, (234, 309), (321, 389)
cold_2, (250, 209), (331, 276)
cold_3, (251, 208), (330, 277)
cold_4, (216, 255), (301, 333)
cold_5, (187, 233), (272, 304)
cold_6, (191, 324), (277, 390)
cold_7, (193, 282), (266, 339)
cold_8, (192, 337), (273, 403)
cold_9, (294, 208), (374, 268)
cold_10, (295, 264), (381, 323)
cold_11, (291, 303), (367, 368)
cold_12, (309, 294), (388, 359)
cold_13, (316, 201), (400, 272)
cold_14, (323, 206), (395, 268)
cold_15, (295, 276), (366, 340)
cold_16, (284, 312), (346, 371)
cold_17, (289, 349), (349, 409)
cold_18, (291, 242), (368, 310)
cold_19, (243, 261), (314, 322)
cold_20, (224, 393), (282, 456)
cold_21, (236, 332), (303, 397)
cold_22, (181, 336), (254, 402)
cold_23, (257, 435), (334, 501)
cold_24, (237, 260), (305, 322)
cold_25, (244, 285), (320, 355)
cold_26, (345, 298), (407, 353)
cold_27, (249, 334), (319, 401)
cold_28, (203, 268), (271, 335)
cold_29, (171, 298), (241, 359)
cold_30, (278, 255), (338, 318)
cold_31, (239, 334), (313, 403)
cold_32, (301, 354), (379, 420)
cold_33, (374, 375), (447, 433)
cold_34, (340, 353), (415, 427)
cold_35, (481, 308), (552, 368)
cold_36, (438, 264), (507, 336)
cold_37, (360, 300), (434, 364)
cold_38, (313, 266), (389, 332)
cold_39, (412, 211), (479, 274)
cold_40, (394, 265), (468, 327)
cold_41, (403, 336), (481, 398)
cold_42, (347, 333), (410, 396)
cold_43, (306, 327), (368, 388)
cold_44, (337, 193), (405, 255)
cold_45, (392, 230), (470, 298)
cold_46, (381, 279), (448, 345)
cold_47, (380, 330), (459, 397)
cold_48, (385, 363), (457, 426)
cold_49, (484, 277), (565, 345)
cold_50, (481, 223), (568, 293)
cold_51, (487, 247), (571, 318)
cold_52, (534, 255), (625, 329)
cold_53, (506, 177), (592, 250)
cold_54, (486, 180), (575, 254)
cold_55, (273, 337), (352, 406)
cold_56, (267, 347), (347, 424)
cold_57, (268, 322), (350, 392)
cold_58, (260, 322), (351, 395)
cold_59, (341, 301), (426, 373)
cold_60, (343, 300), (426, 378)
cold_61, (353, 353), (426, 421)
cold_62, (349, 394), (428, 456)
cold_63, (257, 304), (332, 374)
cold_64, (264, 345), (345, 409)
cold_65, (385, 375), (453, 437)
cold_66, (374, 392), (457, 466)
cold_67, (269, 326), (350, 393)
cold_68, (457, 302), (548, 368)
cold_69, (442, 384), (528, 453)
cold_70, (308, 290), (389, 361)
cold_71, (269, 353), (362, 422)
cold_72, (231, 401), (308, 468)
cold_73, (256, 255), (332, 325)
cold_74, (218, 244), (301, 312)
cold_75, (153, 314), (230, 380)
cold_76, (356, 332), (434, 404)
cold_77, (348, 345), (428, 413)
cold_78, (282, 281), (357, 347)
cold_79, (281, 272), (355, 336)
cold_80, (246, 277), (328, 345)
cold_81, (187, 266), (271, 339)
cold_82, (150, 273), (232, 346)
cold_83, (160, 328), (245, 395)
cold_84, (251, 327), (331, 401)
cold_85, (313, 278), (400, 345)
cold_86, (192, 247), (276, 316)
cold_87, (199, 331), (271, 400)
cold_88, (353, 304), (442, 371)
cold_89, (243, 282), (325, 356)
cold_90, (307, 277), (389, 343)
cold_91, (353, 279), (432, 339)
cold_92, (389, 362), (474, 428)
cold_93, (402, 279), (481, 348)
cold_94, (384, 384), (472, 455)
cold_95, (404, 311), (486, 379)
cold_96, (328, 329), (406, 392)
cold_97, (295, 329), (367, 388)
cold_98, (300, 419), (384, 492)
cold_99, (299, 306), (386, 373)
